title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
Anvil! The Story of Anvil ,Canada,"Documentary, Biography, Drama, Music",English,,FALSE,Not Rated,20/02/2009,80 min,06/10/2009,"14,995",,,,,7.9/10,98%,82/100,0,21,20,Low
Inspector Bellamy ,France,"Crime, Drama, Thriller",French,4,FALSE,Not Rated,25/02/2009,110 min,01/12/2009,"1,883",,,,,5.9/10,89%,71/100,0,0,0,Low
Street Fighter: The Legend of Chun-Li ,"Canada, India, USA, Japan, Thailand","Action, Crime, Thriller","English, Hindi, Japanese, Thai",2,TRUE,PG-13,27/02/2009,96 min,30/06/2009,"21,823",,,,,3.7/10,5%,17/100,0,0,0,High
Echelon Conspiracy ,USA,"Action, Crime, Mystery, Thriller","English, Russian",3,TRUE,PG-13,27/02/2009,105 min,20/07/2009,"18,204",3,49,46985,7,5.8/10,0%,26/100,0,0,0,Low
Wendy and Lucy ,USA,Drama,English,3,TRUE,R,06/03/2009,80 min,05/05/2009,"14,607",38,291,117437,12,7.1/10,85%,80/100,0,9,16,Low
Watchmen ,USA,"Action, Drama, Mystery, Sci-Fi",English,3,TRUE,R,06/03/2009,162 min,21/07/2009,"4,53,498",21,176,107795,9,7.6/10,64%,56/100,0,11,22,High
Brothers at War ,USA,"Documentary, War",English,,FALSE,R,13/03/2009,110 min,12/01/2010,556,5,19,20541,0,6.6/10,70%,60/100,0,0,1,Low
Bronson ,"UK, Cayman Islands","Action, Biography, Crime, Drama",English,2,TRUE,R,13/03/2009,92 min,09/02/2010,"1,09,800",284,4643,1590863,215,7.1/10,76%,71/100,0,3,6,Low
"Class, The ",France,Drama,"French, Bambara, Spanish",4,TRUE,PG-13,13/03/2009,128 min,11/08/2009,"32,339",25,179,197481,9,7.5/10,96%,92/100,1,10,27,Low
Winnebago Man ,USA,"Documentary, Biography, Comedy",English,6,FALSE,Not Rated,14/03/2009,85 min,02/11/2010,"4,438",,,,,7.2/10,90%,71/100,0,5,0,Low
Duplicity ,"USA, Germany","Comedy, Crime, Romance, Thriller","English, Spanish, Russian, German",1,FALSE,PG-13,20/03/2009,125 min,25/08/2009,"45,259",0,1,9327,0,6.2/10,65%,69/100,1,1,3,High
Everybody Wants to Be Italian ,USA,"Comedy, Romance",English,1,FALSE,R,26/03/2009,105 min,03/02/2009,"1,672",9,237,134214,22,5.9/10,9%,26/100,0,0,0,Low
12 Rounds ,USA,"Action, Crime, Thriller",English,1,FALSE,PG-13,27/03/2009,108 min,30/06/2009,"25,908",223,840,1001493,61,5.6/10,30%,38/100,0,0,0,High
"Haunting in Connecticut, The ","USA, Canada","Drama, Horror, Mystery, Thriller",English,2,FALSE,PG-13,27/03/2009,92 min,14/07/2009,"56,520",2981,7089,4492052,440,5.9/10,17%,33/100,0,1,2,High
"Cross: The Arthur Blessitt Story, The ",USA,Documentary,English,1,FALSE,PG,27/03/2009,90 min,,159,316,912,54084,23,7.3/10,18%,0,0,0,0,Low
Monsters vs. Aliens ,USA,"Animation, Action, Comedy, Family, Sci-Fi",English,7,TRUE,PG,27/03/2009,94 min,29/09/2009,"1,36,005",2,75,68583,13,6.5/10,73%,56/100,0,3,9,High
Adventureland ,USA,"Comedy, Drama, Romance",English,1,FALSE,R,03/04/2009,107 min,25/08/2009,"1,46,592",493,2120,1457248,685,6.8/10,88%,76/100,0,1,4,High
Fast & Furious ,USA,"Action, Crime, Thriller","English, Spanish",2,TRUE,PG-13,03/04/2009,107 min,27/07/2009,"2,41,907",194,2252,1396230,115,6.6/10,29%,46/100,0,5,2,High
Gomorrah ,Italy,"Crime, Drama","Neapolitan, Italian, Mandarin, French",7,TRUE,Not Rated,10/04/2009,137 min,24/11/2009,"43,596",50,140,142818,9,7.0/10,92%,87/100,1,34,33,Low
Hannah Montana: The Movie ,USA,"Comedy, Drama, Family, Music, Romance",English,4,TRUE,G,10/04/2009,102 min,18/08/2009,"36,924",136,733,354923,78,4.4/10,43%,47/100,0,6,10,High
Dragonball Evolution ,"USA, Hong Kong, UK","Action, Adventure, Fantasy, Sci-Fi, Thriller","English, Japanese, Hindi",2,TRUE,PG,10/04/2009,85 min,28/07/2009,"66,006",631,,536215,,2.6/10,15%,45/100,0,0,1,High
Sin Nombre ,"Mexico, USA","Adventure, Crime, Drama, Thriller",Spanish,1,FALSE,R,17/04/2009,96 min,01/09/2009,"29,557",1,,94428,,7.6/10,88%,77/100,0,14,18,Low
17 Again ,USA,"Comedy, Drama, Fantasy",English,1,FALSE,PG-13,17/04/2009,102 min,11/08/2009,"1,67,299",619,21261,3786998,401,6.4/10,56%,48/100,0,3,5,High
Sunshine Cleaning ,USA,"Comedy, Drama","English, Spanish",1,FALSE,R,17/04/2009,91 min,25/08/2009,"66,784",10,246,124507,13,6.9/10,74%,61/100,0,2,6,High
Crank: High Voltage ,USA,"Action, Crime, Thriller",English,2,FALSE,R,17/04/2009,96 min,08/09/2009,"1,31,560",1164,5058,3315191,399,6.2/10,64%,41/100,0,1,2,High
Earth ,"UK, Germany, USA",Documentary,English,1,FALSE,G,22/04/2009,90 min,01/09/2009,"13,821",,,,,8.0/10,86%,72/100,0,3,1,High
"Soloist, The ","UK, France, USA","Biography, Drama, Music",English,2,TRUE,PG-13,24/04/2009,117 min,04/08/2009,"48,622",349,1288,895812,53,6.7/10,57%,61/100,0,1,3,High
Obsessed ,USA,"Drama, Romance, Thriller",English,1,FALSE,PG-13,24/04/2009,108 min,04/08/2009,"26,959",,,,,4.9/10,19%,25/100,0,4,8,High
Fighting ,USA,"Action, Drama, Sport","English, Russian",2,FALSE,PG-13,24/04/2009,105 min,25/08/2009,"30,569",288,10332,3688361,356,5.6/10,40%,61/100,0,0,1,High
Outrage ,USA,Documentary,English,1,FALSE,R,24/04/2009,90 min,19/01/2010,"1,496",3,93,27574,4,7.6/10,78%,64/100,0,1,5,Low
Cropsey ,USA,"Documentary, Crime, Horror",English,1,FALSE,NOT RATED,25/04/2009,84 min,10/05/2011,"6,515",21,62,82856,9,6.4/10,91%,73/100,0,1,1,Low
Terra ,USA,"Animation, Action, Adventure, Sci-Fi, Thriller",English,2,TRUE,PG,01/05/2009,85 min,22/09/2009,"10,865",,,,,6.6/10,49%,54/100,0,4,2,Low
Ghosts of Girlfriends Past ,USA,"Comedy, Fantasy, Romance","English, Japanese, Chinese, Spanish",2,FALSE,PG-13,01/05/2009,100 min,22/09/2009,"77,676",156,1490,1129977,68,5.8/10,27%,34/100,0,1,0,High
X-Men Origins: Wolverine ,"USA, UK","Action, Adventure, Sci-Fi, Thriller",English,2,TRUE,PG-13,01/05/2009,107 min,15/09/2009,"4,38,081",8,116,154172,9,6.6/10,37%,40/100,0,3,18,High
Next Day Air ,USA,"Action, Comedy, Crime","English, French",1,FALSE,R,08/05/2009,84 min,15/09/2009,"9,879",,,,,5.8/10,21%,46/100,0,0,0,High
Valentino: The Last Emperor ,USA,Documentary,"English, Italian, French",,FALSE,PG-13,08/05/2009,96 min,08/09/2009,"1,660",3,18,18834,1,7.2/10,77%,68/100,0,2,4,Low
Is Anybody There? ,UK,Drama,English,1,FALSE,PG-13,15/05/2009,94 min,17/11/2009,"4,410",,,,,6.8/10,65%,54/100,0,0,2,Low
Management ,USA,"Comedy, Drama, Romance","English, Mandarin",1,FALSE,R,15/05/2009,94 min,29/09/2009,"16,324",0,4,7904,1,5.9/10,47%,50/100,0,0,0,Low
Tyson ,"USA, France","Documentary, Biography, Sport",English,1,FALSE,R,15/05/2009,90 min,18/08/2009,"11,670",56,167,174208,9,7.5/10,85%,83/100,0,1,10,Low
Angels & Demons ,"USA, Italy","Mystery, Thriller","English, Italian, Latin, French, Swiss German, German, Chinese, Spanish, Polish",3,TRUE,PG-13,15/05/2009,138 min,24/11/2009,"2,51,902",72,2240,1792948,666,6.7/10,37%,48/100,0,1,5,High
Antichrist ,"Denmark, Germany, France, Sweden, Italy, Poland","Drama, Horror",English,1,FALSE,Not Rated,20/05/2009,108 min,01/03/2010,"1,06,115",3,24,72148,5,6.6/10,52%,49/100,0,21,30,Low
Terminator Salvation ,"USA, Germany, UK, Italy","Action, Adventure, Sci-Fi","English, Italian",2,FALSE,PG-13,21/05/2009,115 min,01/12/2009,"3,20,418",37,138,105986,15,6.6/10,33%,49/100,0,2,13,High
Dance Flick ,USA,"Action, Comedy, Music",English,5,FALSE,PG-13,22/05/2009,83 min,08/09/2009,"11,101",0,19,7632,0,3.5/10,18%,40/100,0,0,0,High
Looking for Eric ,"UK, France, Italy, Belgium, Spain","Comedy, Drama, Fantasy, Sport","English, French",1,TRUE,Not Rated,27/05/2009,116 min,12/10/2009,"14,796",40,102,157312,5,7.2/10,85%,66/100,0,3,5,Low
Up ,USA,"Animation, Adventure, Comedy, Family",English,5,TRUE,PG,29/05/2009,96 min,10/11/2009,"8,42,862",,194,217140,27,8.2/10,98%,88/100,1,74,81,High
Summer Hours ,France,"Drama, Family","French, English",1,FALSE,Not Rated,05/06/2009,103 min,20/04/2010,"6,346",10,72,32807,6,7.2/10,94%,85/100,0,8,23,Low
Saint John of Las Vegas ,USA,"Comedy, Drama",English,1,FALSE,R,10/06/2009,85 min,13/07/2010,"2,696",,,,,5.7/10,23%,32/100,0,0,0,Low
"Taking of Pelham 1 2 3, The ","USA, UK","Action, Crime, Thriller","English, Ukrainian",2,TRUE,R,12/06/2009,106 min,03/11/2009,"1,72,867",,,,,6.4/10,51%,55/100,0,1,7,High
"Town Called Panic, A ","Belgium, Luxembourg, France","Animation, Adventure, Comedy, Family, Fantasy",French,2,TRUE,Not Rated,17/06/2009,75 min,20/07/2010,"6,924",,,,,7.5/10,81%,70/100,0,5,5,Low
"Brothers Bloom, The ",USA,"Action, Adventure, Comedy, Crime, Drama, Romance","English, French, Czech, Japanese",1,FALSE,PG-13,19/06/2009,114 min,29/09/2009,"46,318",,,32607,,6.8/10,68%,55/100,0,0,3,Low
Departures ,Japan,"Drama, Music",Japanese,1,TRUE,PG-13,19/06/2009,130 min,12/01/2010,"44,791",14,141,65562,2,8.1/10,79%,68/100,1,33,8,Low
"Proposal, The ",USA,"Comedy, Drama, Romance",English,1,FALSE,PG-13,19/06/2009,108 min,13/10/2009,"2,72,504",26,6621,2970169,164,6.7/10,44%,48/100,1,7,19,High
Transformers: Revenge of the Fallen ,USA,"Action, Adventure, Sci-Fi","English, Spanish",3,FALSE,PG-13,24/06/2009,150 min,20/10/2009,"3,65,219",,,,,6.0/10,19%,35/100,1,15,27,High
Tetro ,"USA, Argentina, Spain, Italy",Drama,"English, Spanish, French",2,FALSE,R,26/06/2009,127 min,04/05/2010,"11,832",19,77,34314,6,6.9/10,70%,65/100,0,1,4,Low
New York ,India,"Crime, Drama, Thriller","Hindi, English",3,TRUE,Not Rated,26/06/2009,153 min,11/08/2009,"9,426",,,,,6.8/10,57%,35/100,0,1,5,Low
Away We Go ,"USA, UK","Comedy, Drama, Romance",English,2,FALSE,R,26/06/2009,98 min,29/09/2009,"49,649",33,265,135282,14,7.1/10,68%,58/100,0,3,10,High
Public Enemies ,"USA, Japan","Biography, Crime, Drama",English,4,TRUE,R,01/07/2009,140 min,08/12/2009,"2,61,633",75,1245,635902,42,7.0/10,68%,70/100,0,1,14,High
Whatever Works ,"USA, France","Comedy, Romance",English,1,FALSE,PG-13,03/07/2009,93 min,27/10/2009,"66,946",1,8,7494,1,7.2/10,49%,45/100,0,2,0,Low
"Police, Adjective ",Romania,"Comedy, Crime, Drama",Romanian,1,FALSE,Not Rated,03/07/2009,113 min,01/06/2010,"4,355",7,50,31756,3,7.0/10,79%,81/100,0,15,15,Low
Spread ,USA,"Comedy, Drama, Romance",English,3,TRUE,R,08/07/2009,97 min,10/11/2009,"36,336",12,202,97186,16,5.9/10,21%,43/100,0,0,0,Low
"I Love You, Beth Cooper ","Canada, USA","Comedy, Romance",English,2,TRUE,PG-13,10/07/2009,102 min,03/11/2009,"31,794",266,6329,3392041,314,5.3/10,13%,32/100,0,1,1,High
"Yoo-Hoo, Mrs. Goldberg ",USA,"Documentary, Biography",English,,FALSE,UNRATED,10/07/2009,92 min,01/05/2010,199,2,11,6166,0,7.3/10,93%,69/100,0,1,0,Low
Harry Potter and the Half-Blood Prince ,"UK, USA","Adventure, Family, Fantasy, Mystery",English,2,TRUE,PG,15/07/2009,153 min,08/12/2009,"4,17,469",4,18,32587,1,7.6/10,84%,78/100,1,8,35,High
Orphan ,"USA, Canada, Germany","Horror, Mystery, Thriller","English, American Sign Language, Estonian",2,TRUE,R,24/07/2009,123 min,27/10/2009,"1,74,815",3676,,5266829,,7.0/10,55%,42/100,0,1,7,High
G-Force ,USA,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,4,TRUE,PG,24/07/2009,88 min,15/12/2009,"39,272",34,204,363166,29,5.1/10,22%,41/100,0,1,1,High
"Ugly Truth, The ",USA,"Comedy, Romance",English,4,TRUE,R,24/07/2009,96 min,10/11/2009,"1,89,799",385,8870,4264333,323,6.4/10,14%,28/100,0,3,5,High
"Food, Inc. ",USA,Documentary,English,3,FALSE,PG,31/07/2009,94 min,03/11/2009,"47,656",93,349,163931,25,7.8/10,95%,80/100,1,7,19,Low
"Hurt Locker, The ",USA,"Drama, Thriller, War","English, Arabic",1,FALSE,R,31/07/2009,131 min,12/01/2010,"3,91,772",,,,,7.6/10,97%,94/100,1,117,126,High
Summer Wars ,Japan,"Animation, Action, Comedy, Drama, Family, Romance, Sci-Fi, Thriller","Japanese, English",4,TRUE,PG,01/08/2009,114 min,15/02/2011,"22,956",611,4798,912529,76,7.5/10,77%,63/100,0,10,5,Low
,USA,"Comedy, Drama, Romance","English, French, Swedish",2,FALSE,PG-13,07/08/2009,95 min,22/12/2009,"4,39,998",80,1646,561553,47,7.7/10,85%,76/100,1,17,54,High
Mugabe and the White African ,UK,Documentary,"English, Shona",,FALSE,,07/08/2009,90 min,14/12/2010,860,481,213,83387,18,7.8/10,97%,77/100,1,2,6,Low
G.I. Joe: The Rise of Cobra ,"USA, Czech Republic","Action, Adventure, Sci-Fi, Thriller","English, French, Scottish Gaelic",6,TRUE,PG-13,07/08/2009,118 min,03/11/2009,"1,91,162",1142,3762,4205236,359,5.8/10,34%,32/100,0,3,16,High
"Perfect Getaway, A ",USA,"Adventure, Mystery, Thriller",English,1,FALSE,R,07/08/2009,98 min,29/12/2009,"63,775",36,86,182274,10,6.5/10,62%,63/100,0,0,1,High
Leaving ,France,"Drama, Romance","French, Catalan, English",4,FALSE,Unrated,12/08/2009,85 min,22/02/2011,"3,745",,,,,6.3/10,68%,56/100,0,1,3,Low
"Goods: Live Hard, Sell Hard, The ",USA,Comedy,English,2,FALSE,R,14/08/2009,89 min,10/11/2009,"19,477",5,9,17581,1,5.8/10,27%,39/100,0,0,0,High
"Time Traveler's Wife, The ",USA,"Drama, Fantasy, Romance, Sci-Fi",English,2,TRUE,PG-13,14/08/2009,107 min,09/02/2010,"1,32,879",20,309,138504,12,7.1/10,39%,47/100,0,1,5,High
Bandslam ,USA,"Comedy, Drama, Family, Music, Romance",English,3,TRUE,PG,14/08/2009,111 min,16/03/2010,"13,141",,,,,6.3/10,81%,66/100,0,0,0,Low
Ponyo ,Japan,"Animation, Adventure, Comedy, Family, Fantasy",Japanese,1,FALSE,G,14/08/2009,101 min,02/03/2010,"1,06,927",74,21118,6632999,1512,7.7/10,92%,86/100,0,11,19,High
Shorts ,"USA, United Arab Emirates","Comedy, Family, Fantasy",English,2,TRUE,PG,21/08/2009,89 min,24/11/2009,"6,230",,,,,4.8/10,46%,53/100,0,1,1,High
Post Grad ,USA,"Comedy, Romance",English,1,FALSE,PG-13,21/08/2009,88 min,12/01/2010,"13,165",76,188,244679,22,5.3/10,8%,35/100,0,0,0,High
X Games 3D: The Movie ,USA,"Documentary, Sport",English,2,FALSE,PG,21/08/2009,92 min,12/01/2010,284,169,2977,698174,72,6.4/10,38%,43/100,0,0,0,Low
Fifty Dead Men Walking ,"UK, Canada","Crime, Drama, Thriller",English,3,TRUE,R,21/08/2009,117 min,05/01/2010,"10,359",0,,112090,,6.9/10,83%,57/100,0,7,6,Low
Inglourious Basterds ,"Germany, USA","Adventure, Drama, War","English, German, French, Italian",1,FALSE,R,21/08/2009,153 min,15/12/2009,"11,21,807",111,1040,384750,45,8.3/10,88%,69/100,1,129,165,High
Goodbye Solo ,USA,Drama,"English, French, Wolof, Spanish",2,FALSE,R,26/08/2009,91 min,25/08/2009,"5,378",0,2,3144,1,7.4/10,93%,89/100,0,4,7,Low
Halloween II ,USA,Horror,English,1,FALSE,R,28/08/2009,105 min,12/01/2010,"44,420",128,265,112407,19,4.9/10,21%,35/100,0,1,1,High
Play the Game ,USA,"Comedy, Romance",English,1,FALSE,PG-13,28/08/2009,105 min,29/01/2010,"2,485",6,157,,16,6.5/10,28%,35/100,0,3,0,Low
Motherhood ,USA,"Comedy, Drama",English,1,FALSE,PG-13,28/08/2009,90 min,23/02/2010,"4,124",12,126,94833,11,4.7/10,20%,34/100,0,1,0,Low
"Final Destination, The ",USA,Horror,English,2,TRUE,R,28/08/2009,82 min,05/01/2010,"89,298",13,98,68100,17,5.2/10,28%,30/100,0,2,1,High
Paper Heart ,USA,"Comedy, Drama, Romance",English,2,FALSE,PG-13,28/08/2009,88 min,01/12/2009,"7,833",244,754,373139,39,6.0/10,60%,54/100,0,1,3,Low
Adam ,USA,"Comedy, Drama, Romance",English,1,FALSE,PG-13,28/08/2009,99 min,02/02/2010,"32,539",330,1749,987448,78,7.2/10,65%,56/100,0,2,2,Low
Carriers ,USA,"Drama, Horror, Sci-Fi, Thriller",English,2,FALSE,PG-13,02/09/2009,84 min,29/12/2009,"39,704",637,3450,2216670,160,6.0/10,66%,0,0,0,1,Low
Eyes Wide Open ,"Israel, Germany, France","Drama, Romance","Hebrew, Yiddish, German, French, English",1,TRUE,Not Rated,02/09/2009,91 min,16/11/2010,"5,683",164,620,358678,57,7.3/10,85%,70/100,0,3,9,Low
Gamer ,USA,"Action, Sci-Fi, Thriller",English,2,FALSE,R,04/09/2009,95 min,18/01/2010,"1,24,640",1037,4449,2561149,260,5.8/10,30%,27/100,0,1,0,High
In the Loop ,UK,Comedy,English,5,TRUE,Not Rated,04/09/2009,106 min,12/01/2010,"51,119",0,9,9991,0,7.5/10,94%,83/100,1,16,41,Low
Extract ,USA,"Comedy, Crime, Romance",English,1,FALSE,R,04/09/2009,92 min,22/12/2009,"42,680",8,31,53945,7,6.2/10,62%,61/100,0,0,0,High
9,USA,"Animation, Action, Adventure, Sci-Fi",English,2,TRUE,PG-13,09/09/2009,79 min,29/12/2009,"1,25,555",27,225,145812,10,7.1/10,57%,60/100,0,0,9,High
Fish Tank ,"Netherlands, UK",Drama,English,1,FALSE,Not Rated,11/09/2009,123 min,22/03/2010,"54,779",1,70,31282,8,7.3/10,91%,81/100,0,20,28,Low
Love Happens ,"USA, Canada, UK","Drama, Romance",English,2,FALSE,PG-13,18/09/2009,109 min,02/02/2010,"28,739",49,266,420259,29,5.7/10,17%,33/100,0,1,0,High
Cloudy with a Chance of Meatballs ,USA,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","English, French, Russian",5,TRUE,PG,18/09/2009,90 min,05/01/2010,"1,85,808",29,141,206273,9,7.0/10,86%,66/100,1,1,13,High
London River ,"UK, France, Algeria","Drama, Mystery","English, French, Arabic",3,TRUE,Not Rated,23/09/2009,84 min,05/03/2012,"3,431",23,132,191592,9,6.8/10,91%,67/100,0,4,4,Low
Desert Flower ,"UK, Germany, Austria, France","Biography, Drama","English, Somali, French",5,TRUE,R,24/09/2009,120 min,19/07/2011,"11,133",0,5,4909,0,7.4/10,50%,54/100,0,2,2,Low
Surrogates ,USA,"Action, Sci-Fi, Thriller",English,4,TRUE,PG-13,25/09/2009,89 min,26/01/2010,"1,63,010",108,307,299227,13,6.3/10,37%,45/100,0,0,0,High
"September Issue, The ",USA,Documentary,English,,FALSE,PG-13,25/09/2009,90 min,23/02/2010,"7,020",256,1732,1019526,46,7.0/10,83%,69/100,0,2,5,Low
"Invention of Lying, The ",USA,"Comedy, Fantasy, Romance",English,2,FALSE,PG-13,02/10/2009,100 min,19/01/2010,"1,07,515",18,560,127279,19,6.4/10,56%,58/100,0,0,1,High
Whip It ,USA,"Drama, Sport",English,2,TRUE,PG-13,02/10/2009,111 min,26/01/2010,"61,238",1595,15858,4682412,814,6.9/10,84%,68/100,0,0,8,High
[REC]² ,Spain,"Horror, Mystery, Thriller",Spanish,4,TRUE,R,02/10/2009,85 min,14/07/2009,"63,684",22,67,70002,5,6.5/10,68%,52/100,0,5,3,Low
Zombieland ,USA,"Adventure, Comedy, Horror, Sci-Fi",English,2,FALSE,R,02/10/2009,88 min,02/02/2010,"4,55,922",835,12024,3681239,610,7.6/10,90%,73/100,0,9,28,High
Couples Retreat ,USA,Comedy,"English, Ukrainian",3,FALSE,PG-13,09/10/2009,113 min,09/02/2010,"95,076",96,8821,2584288,295,5.5/10,10%,23/100,0,1,4,High
Bright Star ,"UK, Australia, France","Biography, Drama, Romance","English, French",3,TRUE,PG,09/10/2009,119 min,26/01/2010,"23,932",37,651,162439,10,7.0/10,82%,81/100,1,16,52,Low
Lebanon ,"Israel, France, Germany, UK","Drama, War","Hebrew, Arabic, French, English",1,FALSE,R,15/10/2009,93 min,18/01/2011,"10,470",220,486,320251,94,6.9/10,90%,85/100,0,16,15,Low
Where the Wild Things Are ,"Germany, Australia, USA","Adventure, Drama, Family, Fantasy",English,3,TRUE,PG,16/10/2009,101 min,02/03/2010,"96,325",532,3427,743392,105,6.8/10,73%,71/100,1,7,53,High
Cairo Time ,"Canada, Ireland, Egypt","Drama, Romance","English, Arabic",1,FALSE,PG,16/10/2009,90 min,30/11/2010,"5,987",227,648,501588,31,6.7/10,81%,67/100,0,2,2,Low
More Than a Game ,USA,"Documentary, Biography, Sport",English,2,FALSE,PG,16/10/2009,105 min,02/02/2010,"4,835",,,160624,,7.6/10,71%,59/100,0,0,4,Low
"New York, I Love You ",USA,"Comedy, Drama, Romance","English, French, Cantonese, Gujarati, Yiddish",18,FALSE,R,16/10/2009,103 min,02/02/2010,"43,012",,,,,6.3/10,37%,49/100,0,0,1,Low
Law Abiding Citizen ,USA,"Action, Crime, Drama, Thriller",English,1,FALSE,R,16/10/2009,109 min,16/02/2010,"2,52,849",53,770,499069,34,7.4/10,26%,34/100,0,3,5,High
"Stepfather, The ",USA,"Crime, Thriller","English, German",5,TRUE,PG-13,16/10/2009,101 min,09/02/2010,"28,029",233,638,593440,66,5.6/10,11%,33/100,0,0,2,High
Amelia ,"USA, Canada","Adventure, Biography, Drama, Romance",English,4,TRUE,PG,23/10/2009,111 min,02/02/2010,"11,318",439,1828,1572255,141,5.8/10,20%,37/100,0,3,4,High
Michael Jackson's This Is It ,USA,"Documentary, Music",English,,FALSE,PG,28/10/2009,111 min,26/01/2010,"36,834",1659,17572,2471501,326,7.3/10,81%,67/100,0,7,9,High
"Concert, Le ","France, Italy, Romania, Belgium","Comedy, Drama, Music","French, Russian",6,TRUE,PG-13,04/11/2009,119 min,01/01/2011,"16,623",45,366,236734,11,7.6/10,62%,60/100,1,9,14,Low
"Burning Plain, The ","USA, Argentina","Crime, Drama, Romance","English, Spanish",1,FALSE,R,05/11/2009,107 min,12/01/2010,"17,590",,,,,6.8/10,38%,45/100,0,2,3,Low
Coco Before Chanel ,"France, Belgium","Biography, Drama","French, English",3,TRUE,PG-13,06/11/2009,105 min,16/02/2010,"36,498",,,,,6.7/10,63%,65/100,1,5,19,High
"Serious Man, A ","USA, UK, France","Comedy, Drama","English, Yiddish, Hebrew",2,FALSE,R,06/11/2009,106 min,09/02/2010,"1,21,802",11,111,56297,5,7.1/10,89%,79/100,1,17,72,High
"Box, The ",USA,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",English,3,TRUE,PG-13,06/11/2009,115 min,23/02/2010,"84,713",358,2020,773222,141,5.6/10,44%,47/100,0,0,6,High
Henri-Georges Clouzot's Inferno ,France,Documentary,French,1,FALSE,Not Rated,11/11/2009,100 min,03/07/2012,"1,409",7,90,39628,2,7.5/10,100%,0,0,4,2,Low
Today's Special ,USA,Comedy,English,3,TRUE,R,11/11/2009,99 min,20/09/2011,"6,012",5,47,18847,2,6.6/10,81%,57/100,0,0,0,Low
"Boys Are Back, The ","Australia, UK",Drama,English,2,TRUE,PG-13,12/11/2009,104 min,26/01/2010,"9,571",48,124,65908,9,6.8/10,72%,57/100,0,0,6,Low
"Boat That Rocked, The ","UK, France, Germany","Comedy, Drama, Music",English,1,FALSE,R,13/11/2009,117 min,13/04/2010,"1,01,590",,,,,7.4/10,62%,58/100,0,1,8,High
Rapt ,"France, Belgium","Drama, Thriller",French,1,FALSE,Not Rated,18/11/2009,125 min,06/12/2011,"1,910",,,,,6.7/10,97%,71/100,0,0,5,Low
"Twilight Saga: New Moon, The ",USA,"Adventure, Drama, Fantasy, Romance","English, Italian",2,TRUE,PG-13,20/11/2009,130 min,20/03/2010,"2,48,874",175,843,1042471,86,4.7/10,28%,44/100,0,20,24,High
Precious ,USA,Drama,"English, Italian",2,TRUE,R,20/11/2009,110 min,09/03/2010,"99,959",367,476,696137,57,7.3/10,91%,79/100,1,111,98,High
"Blind Side, The  ",USA,"Biography, Drama, Sport",English,2,TRUE,PG-13,20/11/2009,129 min,23/03/2010,"2,67,725",73,735,323946,32,7.7/10,66%,53/100,1,7,30,High
Ninja Assassin ,"Germany, USA","Action, Thriller",English,3,TRUE,R,25/11/2009,99 min,16/03/2010,"64,532",1004,6743,4126729,365,6.4/10,25%,34/100,0,0,0,High
Old Dogs ,USA,"Comedy, Family","English, Ukrainian",2,FALSE,PG,25/11/2009,88 min,09/03/2010,"34,529",471,2533,2051088,288,5.4/10,5%,19/100,0,0,5,High
Fantastic Mr. Fox ,USA,"Animation, Adventure, Comedy, Crime, Drama, Family","English, French",3,TRUE,PG,25/11/2009,87 min,23/03/2010,"1,77,174",2884,16347,6194419,891,7.9/10,92%,83/100,1,32,60,High
Brothers ,USA,"Drama, War",English,3,TRUE,R,04/12/2009,105 min,23/03/2010,"1,02,678",534,657,454607,32,7.1/10,63%,58/100,1,4,13,High
Armored ,USA,"Action, Crime, Thriller",English,1,FALSE,PG-13,04/12/2009,88 min,16/03/2010,"28,636",82,293,286865,30,5.7/10,40%,50/100,0,0,0,High
"Merry Gentleman, The ",USA,"Crime, Drama",English,1,FALSE,R,04/12/2009,110 min,10/11/2009,"2,471",,,,,6.6/10,64%,55/100,0,3,1,Low
Everybody's Fine ,USA,"Adventure, Drama",English,4,TRUE,PG-13,04/12/2009,99 min,23/02/2010,"56,070",18,1097,143857,24,7.1/10,47%,47/100,1,1,5,High
Red Cliff ,"China, Hong Kong, Japan, Taiwan, South Korea","Action, Adventure, Drama, History, War",Mandarin,5,TRUE,R,04/12/2009,148 min,27/09/2008,"41,431",452,2182,1183079,118,7.4/10,91%,73/100,0,13,43,Low
"Boondock Saints II: All Saints Day, The ",USA,"Action, Crime, Thriller","English, Italian, Spanish",3,TRUE,R,11/12/2009,118 min,09/03/2010,"58,770",152,704,475079,32,6.3/10,23%,24/100,0,0,0,High
"Princess and the Frog, The ",USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","English, French",8,TRUE,G,11/12/2009,97 min,16/03/2010,"1,08,712",71,7185,8447964,1973,7.1/10,85%,73/100,1,11,38,High
Bad Lieutenant: Port of Call New Orleans ,USA,"Crime, Drama","English, Spanish",1,TRUE,R,11/12/2009,122 min,06/04/2010,"70,880",2,23,62188,7,6.6/10,85%,69/100,0,3,9,Low
